Class,Precision,Recall,mAP50,mAP50-95,F1
AngelFish,0.9718260077050562,0.947136563876652,0.9540013591777388,0.7468628834332723,0.9593224581395015
BlueTang,0.9099609541937947,0.926829268292683,0.9047992844501207,0.6577603617111607,0.9183176554681983
ButterflyFish,0.0,0.0,0.0,0.0,0.0
ClownFish,0.9333769028386891,0.9485294117647058,0.948619815668203,0.7848824337031088,0.9408921557191608
GoldFish,0.8640565484852082,0.9518072289156626,0.9445823604440071,0.7483485465785844,0.9058116355151911
Gourami,0.9714285714285714,1.0,0.9923940345368917,0.9214564842066396,0.9855072463768115
MorishIdol,0.8,0.8571428571428571,0.8388461538461538,0.4824529914529915,0.8275862068965518
PlatyFish,0.7320343255219486,0.7189411227939572,0.7055648126014198,0.5473171360164835,0.725428649430715
RibbonedSweetlips,0.8888888888888888,1.0,0.9672222222222222,0.8132916666666666,0.9411764705882353
ThreeStripedDamselfish,0.9492399811780915,1.0,0.991551724137931,0.8227227344096816,0.9739590715806937
YellowCichlid,0.8195901832088839,0.7395835883326881,0.7167343137091625,0.31364043334275465,0.7775341783238942
YellowTang,0.8423651227549056,0.9043685914771944,0.8338359456635318,0.6268028204388172,0.8722663945491825
ZebraFish,0.9786857185866273,0.991869918699187,0.995,0.8837943924683959,0.985233713536378
