epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.095,1.387,2.58667,1.55339,0.69514,0.68774,0.74611,0.42585,1.41551,1.60717,1.58072,0.000195053,0.000195053,0.000195053
2,258.593,1.32586,1.41117,1.46197,0.7406,0.72266,0.76829,0.50153,1.11442,1.02927,1.31333,0.000384601,0.000384601,0.000384601
3,388.67,1.31938,1.31362,1.45205,0.69774,0.70014,0.72247,0.43922,1.22044,1.14497,1.4187,0.00056768,0.00056768,0.00056768
4,517.005,1.30759,1.26944,1.4379,0.71747,0.75898,0.7847,0.49737,1.14013,0.97658,1.34123,0.000558894,0.000558894,0.000558894
5,646.814,1.27732,1.18092,1.4125,0.72648,0.69596,0.74846,0.48564,1.1016,1.06965,1.31572,0.000549192,0.000549192,0.000549192
6,776.616,1.24875,1.13379,1.39828,0.74724,0.80028,0.81399,0.53727,1.03,0.82769,1.27655,0.00053949,0.00053949,0.00053949
7,906.145,1.21901,1.05838,1.38213,0.78826,0.8062,0.84452,0.5829,0.97836,0.75501,1.22628,0.000529788,0.000529788,0.000529788
8,1035.56,1.19206,1.00579,1.35701,0.85165,0.79599,0.87504,0.58905,1.01198,0.72895,1.23197,0.000520086,0.000520086,0.000520086
9,1165.91,1.18064,0.97105,1.35052,0.82874,0.83464,0.88615,0.61115,0.95848,0.663,1.21278,0.000510384,0.000510384,0.000510384
10,1297.85,1.15657,0.92574,1.33285,0.83415,0.83304,0.87837,0.61722,0.92381,0.64906,1.17384,0.000500682,0.000500682,0.000500682
11,1426.66,1.12223,0.89674,1.31525,0.84538,0.8288,0.87355,0.60667,0.94751,0.65152,1.18677,0.00049098,0.00049098,0.00049098
12,1554.87,1.12406,0.8782,1.30702,0.83003,0.84754,0.89406,0.63675,0.90062,0.63419,1.1591,0.000481278,0.000481278,0.000481278
13,1686.58,1.09803,0.86343,1.2943,0.85388,0.84437,0.90117,0.64375,0.88054,0.61294,1.14455,0.000471576,0.000471576,0.000471576
14,1815.81,1.08639,0.83884,1.28788,0.85944,0.84296,0.88725,0.64084,0.87153,0.61581,1.14386,0.000461874,0.000461874,0.000461874
15,1946.34,1.09151,0.81604,1.287,0.87918,0.86516,0.90975,0.65511,0.88432,0.56784,1.13477,0.000452172,0.000452172,0.000452172
16,2075.9,1.07467,0.80188,1.27226,0.89672,0.83074,0.90743,0.65034,0.86816,0.58228,1.13096,0.00044247,0.00044247,0.00044247
17,2206.01,1.06385,0.77954,1.26758,0.88251,0.85073,0.90965,0.66329,0.86182,0.54981,1.12488,0.000432768,0.000432768,0.000432768
18,2334.89,1.05334,0.76744,1.2605,0.85027,0.89399,0.91775,0.66764,0.83602,0.53677,1.1077,0.000423066,0.000423066,0.000423066
19,2463.05,1.0381,0.7498,1.2573,0.87104,0.86722,0.91001,0.66808,0.8449,0.53821,1.11,0.000413364,0.000413364,0.000413364
20,2591.83,1.02478,0.74479,1.2497,0.89151,0.87518,0.9248,0.68595,0.81716,0.50821,1.10068,0.000403662,0.000403662,0.000403662
21,2721.8,1.01646,0.73097,1.2443,0.88768,0.89679,0.93005,0.68175,0.84699,0.53291,1.11566,0.00039396,0.00039396,0.00039396
22,2851.11,1.01486,0.71401,1.23245,0.87219,0.89764,0.92334,0.6883,0.83148,0.52785,1.10142,0.000384258,0.000384258,0.000384258
23,2981.13,0.99288,0.70217,1.23082,0.8896,0.87848,0.92756,0.69162,0.81195,0.50178,1.08918,0.000374556,0.000374556,0.000374556
24,3111.53,1.0037,0.70203,1.23357,0.89374,0.90421,0.93388,0.69174,0.81999,0.48361,1.09368,0.000364854,0.000364854,0.000364854
25,3240.59,0.99666,0.68357,1.22494,0.8624,0.90449,0.9239,0.68937,0.79857,0.49051,1.08002,0.000355152,0.000355152,0.000355152
26,3370.48,0.97695,0.67605,1.21515,0.88012,0.89715,0.92461,0.69315,0.79805,0.4902,1.07844,0.00034545,0.00034545,0.00034545
27,3498.66,0.96719,0.65814,1.20565,0.91973,0.89025,0.93975,0.69969,0.77959,0.46133,1.06398,0.000335748,0.000335748,0.000335748
28,3625.45,0.95421,0.64876,1.19686,0.9004,0.91488,0.94032,0.71069,0.78584,0.46921,1.06453,0.000326046,0.000326046,0.000326046
29,3754.37,0.94923,0.64367,1.19632,0.9141,0.90879,0.94257,0.71294,0.77512,0.45146,1.06415,0.000316344,0.000316344,0.000316344
30,3882.24,0.94328,0.64386,1.19032,0.90726,0.89268,0.93733,0.71793,0.77656,0.45387,1.06695,0.000306642,0.000306642,0.000306642
31,4011.27,0.93985,0.63571,1.1937,0.89351,0.92166,0.94445,0.71598,0.76987,0.44619,1.06313,0.00029694,0.00029694,0.00029694
32,4139.1,0.92163,0.61668,1.17876,0.90101,0.89552,0.92783,0.69681,0.7909,0.46085,1.07752,0.000287238,0.000287238,0.000287238
33,4267.15,0.92299,0.61785,1.1822,0.91759,0.90555,0.94094,0.70904,0.77663,0.43317,1.06263,0.000277536,0.000277536,0.000277536
34,4395.72,0.90461,0.59412,1.17074,0.92287,0.90974,0.94067,0.70558,0.76987,0.43952,1.05435,0.000267834,0.000267834,0.000267834
35,4524.74,0.9027,0.60537,1.17078,0.9048,0.90719,0.93986,0.71681,0.76417,0.44065,1.05252,0.000258132,0.000258132,0.000258132
36,4652.76,0.8939,0.59097,1.16468,0.91305,0.90758,0.93751,0.70899,0.768,0.44441,1.06362,0.00024843,0.00024843,0.00024843
37,4780.82,0.88094,0.58337,1.16281,0.92302,0.90966,0.94291,0.71719,0.76539,0.43428,1.05653,0.000238728,0.000238728,0.000238728
38,4909.92,0.8727,0.57075,1.15594,0.91385,0.89474,0.94117,0.71085,0.75836,0.44814,1.05242,0.000229026,0.000229026,0.000229026
