Split,Image,Class_ID,Species,Image_Width,Image_Height,Center_X,Center_Y,BBox_Width,BBox_Height,BBox_Area
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.76171875,0.19453125,0.1390625,0.1609375,0.022380371093750004
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.1375,0.4109375,0.184375,0.13125,0.02419921875
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.496875,0.23359375,0.071875,0.0859375,0.006176757812499999
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.35625,0.40703125,0.13125,0.1734375,0.022763671875
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.61015625,0.32890625,0.0984375,0.0953125,0.00938232421875
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.51796875,0.421875,0.0578125,0.1625,0.009394531250000001
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.9265625,0.32265625,0.146875,0.1140625,0.0167529296875
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.79921875,0.32421875,0.0546875,0.1765625,0.009655761718750001
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.1984375,0.6109375,0.23125,0.2,0.046250000000000006
train,001_jpg.rf.d47e7ce0fd847e561bdf825fe6a2f4fd.jpg,2,ButterflyFish,640,640,0.48671875,0.32890625,0.0421875,0.0546875,0.0023071289062500003
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.1765625,0.7390625,0.171875,0.1875,0.0322265625
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.8328125,0.66796875,0.209375,0.16875,0.03533203125000001
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.44296875,0.76015625,0.0890625,0.1,0.008906250000000001
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.61953125,0.62265625,0.1671875,0.1984375,0.03317626953125
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.35390625,0.6421875,0.1171875,0.115625,0.0135498046875
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.46484375,0.571875,0.0921875,0.171875,0.0158447265625
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.0640625,0.5765625,0.128125,0.14375,0.018417968749999996
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.16875,0.60390625,0.09375,0.184375,0.017285156250000003
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.81875,0.459375,0.2703125,0.246875,0.06673339843750001
train,001_jpg.rf.eaa7c989ec5ef785ae9ea76efb37b787.jpg,2,ButterflyFish,640,640,0.47421875,0.66953125,0.053125,0.0625,0.0033203125
train,002_jpg.rf.130be8cea6916f0b23e66d22daca3d3a.jpg,2,ButterflyFish,640,640,0.8859375,0.2640625,0.190625,0.1375,0.0262109375
